SA2_NAME16,population
Chelmer - Graceville,7705
Corinda,5084
Indooroopilly,12800
Sherwood,5882
St Lucia,13487
Taringa,8949
Enoggera,8487
Enoggera Reservoir,26
Keperra,7339
Mitchelton,8681
Mount Coot-tha,0
The Gap,17204
Upper Kedron - Ferny Grove,10305
Brisbane City,11036
Fortitude Valley,7622
Highgate Hill,6705
Kangaroo Point,8847
New Farm,13578
South Brisbane,7777
Spring Hill,6468
West End,10211
Balmoral,4494
Bulimba,7076
East Brisbane,6055
Hawthorne,5328
Morningside - Seven Hills,13279
Norman Park,6612
Albion,2973
Alderley,6276
Ascot,5368
Clayfield,10962
Grange,4427
Hamilton (Qld),6579
Hendra,4850
Kelvin Grove - Herston,10722
Newmarket,5246
Newstead - Bowen Hills,11436
Wilston,4153
Windsor,7623
Wooloowin - Lutwyche,10167
Ashgrove,13901
Auchenflower,5923
Bardon,10229
Paddington - Milton,11592
Red Hill (Qld),6194
Toowong,11547
Darra - Sumner,5241
Durack,8230
Forest Lake - Doolandella,28853
Inala - Richlands,18637
Oxley (Qld),8181
Wacol,6067
Boonah,12081
Esk,5229
Lake Manchester - England Creek,3
Lockyer Valley - East,20326
Lowood,14376
Rosewood,12109
Brassall,11193
Bundamba,9157
Churchill - Yamanto,6973
Ipswich - Central,6716
Ipswich - East,18416
Ipswich - North,4801
Karalee - Barellan Point,5718
Karana Downs,6301
Leichhardt - One Mile,7884
North Ipswich - Tivoli,6579
Raceview,15594
Ripley,4767
Riverview,3221
Bellbird Park - Brookwater,14294
Camira - Gailes,9547
Carole Park,4
Collingwood Park - Redbank,8780
Goodna,11332
New Chum,0
Redbank Plains,20011
Springfield,7059
Springfield Lakes,16068
Beaudesert,14242
Beenleigh,8498
Eagleby,13690
Edens Landing - Holmview,7698
Mount Warren Park,5991
Wolffdene - Bahrs Scrub,6328
Boronia Heights - Park Ridge,12628
Browns Plains,7637
Chambers Flat - Logan Reserve,5259
Crestmead,12377
Greenbank Military Camp,0
Hillcrest,8461
Marsden,14903
Munruben - Park Ridge South,4776
Regents Park - Heritage Park,16527
Greenbank,13224
Jimboomba,26536
Logan Village,7170
Bethania - Waterford,11243
Cornubia - Carbrook,8800
Loganholme - Tanah Merah,11545
Loganlea,10814
Shailer Park,12113
Waterford West,7501
Daisy Hill,6895
Kingston (Qld.),10782
Logan Central,6308
Rochedale South - Priestdale,15984
Slacks Creek,10800
Springwood,9608
Underwood,6699
Woodridge,12990
Beachmere - Sandstone Point,15148
Bribie Island,18465
Burpengary - East,4064
Caboolture,27635
Caboolture - South,20938
Elimbah,4049
Morayfield - East,8713
Wamuran,4027
Kilcoy,5564
Woodford - D'Aguilar,8104
Burpengary,14420
Deception Bay,22984
Morayfield,4976
Narangba,19204
Upper Caboolture,3109
Clontarf,8470
Margate - Woody Point,12126
Redcliffe,10397
Rothwell - Kippa-Ring,17622
Scarborough - Newport - Moreton Island,12614
Albany Creek,16369
Cashmere,19502
Dayboro,8730
Eatons Hill,8262
The Hills District,24231
Samford Valley,12130
Dakabin - Kallangur,24631
Murrumba Downs - Griffin,18136
North Lakes - Mango Hill,31141
Bray Park,10581
Lawnton,6212
Petrie,8954
Strathpine - Brendale,12749
Brinsmead,5580
Clifton Beach - Kewarra Beach,11197
Freshwater - Stratford,3760
Redlynch,13278
Trinity Beach - Smithfield,14450
Yorkeys Knob - Machans Beach,6289
Bentley Park,8284
Cairns City,12089
Earlville - Bayview Heights,8563
Edmonton,11084
Gordonvale - Trinity,8908
Kanimbla - Mooroobool,10221
Lamb Range,0
Manoora,6257
Manunda,5600
Mount Sheridan,8516
Westcourt - Bungalow,6553
White Rock,4878
Whitfield - Edge Hill,8483
Woree,4959
Babinda,4312
Innisfail,9637
Johnstone,8025
Tully,10921
Wooroonooran,3
Yarrabah,2703
Daintree,6453
Port Douglas,5429
Atherton,10957
Herberton,5738
Kuranda,4684
Malanda - Yungaburra,8617
Mareeba,11334
Balonne,4480
Chinchilla,8321
Goondiwindi,6515
Inglewood - Waggamba,4292
Miles - Wandoan,4141
Roma,7056
Roma Region,5872
Tara,4282
Crows Nest - Rosalie,8668
Jondaryan,7688
Millmerran,3369
Pittsworth,5820
Wambo,17454
Clifton - Greenmount,4952
Southern Downs - East,4266
Southern Downs - West,4733
Stanthorpe,5491
Stanthorpe Region,5844
Warwick,15378
Central Highlands - East,7515
Central Highlands - West,8278
Emerald,13982
Berserker,7018
Bouldercombe,1886
Emu Park,5603
Frenchville - Mount Archer,9287
Glenlee - Rockyview,5062
Gracemere,12018
Lakes Creek,4991
Mount Morgan,2981
Norman Gardens,10393
Park Avenue,5181
Parkhurst - Kawana,7096
Rockhampton - West,6032
Rockhampton City,3329
Rockhampton Region - East,3484
Rockhampton Region - North,4329
Rockhampton Region - West,2989
Shoalwater Bay,16
The Range - Allenstown,8388
Yeppoon,18561
Banana,8717
Biloela,5890
Agnes Water - Miriam Vale,6131
Boyne Island - Tannum Sands,10194
Callemondah,20
Clinton - New Auckland,13874
Gladstone,6182
Gladstone Hinterland,12071
Kin Kora - Sun Valley,3674
South Trees,0
Telina - Toolooa,6333
West Gladstone,4809
Broadbeach Waters,8161
Burleigh Heads,9134
Burleigh Waters,14745
Mermaid Beach - Broadbeach,12653
Mermaid Waters,12703
Miami,7095
Coolangatta,6234
Currumbin - Tugun,11732
Currumbin Waters,9472
Elanora,12546
Palm Beach,15157
Arundel,10645
Biggera Waters,8912
Coombabah,10602
Labrador,19021
Paradise Point - Hollywell,9772
Runaway Bay,9427
Guanaba - Springbrook,4371
Tamborine - Canungra,14652
Currumbin Valley - Tallebudgera,7419
Mudgeeraba - Bonogin,18872
Reedy Creek - Andrews,8213
Carrara,12608
Highland Park,8627
Nerang - Mount Nathan,21041
Pacific Pines - Gaven,18909
Worongary - Tallai,8217
Coomera,13807
Helensvale,17476
Hope Island,11699
Jacobs Well - Alberton,3741
Ormeau - Yatala,20245
Oxenford - Maudsland,16313
Pimpama,9620
Upper Coomera - Willow Vale,32210
Clear Island Waters,4247
Merrimac,7245
Robina,24187
Varsity Lakes,15829
Ashmore,12262
Molendinar,6660
Parkwood,9063
Southport - North,15310
Southport - South,17833
Benowa,9081
Bundall,4701
Main Beach,4132
Surfers Paradise,24969
Bowen,9290
Broadsound - Nebo,8724
Clermont,3810
Collinsville,3496
Moranbah,9029
Andergrove - Beaconsfield,15259
East Mackay,3652
Eimeo - Rural View,12776
Eungella Hinterland,16
Mackay,3740
Mackay Harbour,527
Mount Pleasant - Glenella,11004
North Mackay,6158
Ooralea - Bakers Creek,5133
Pioneer Valley,8400
Sarina,11796
Seaforth - Calen,8214
Shoal Point - Bucasia,5905
Slade Point,3419
South Mackay,6849
Walkerston - Eton,8497
West Mackay,6358
Airlie - Whitsundays,13399
Cape Conway,0
Proserpine,8441
Aurukun,1323
Cape York,7873
Croydon - Etheridge,1119
Kowanyama - Pormpuraaw,1769
Northern Peninsula,2952
Tablelands,6139
Torres,3789
Torres Strait Islands,4785
Weipa,4023
Carpentaria,5065
Mount Isa,18999
Mount Isa Region,3445
Northern Highlands,3179
Barcaldine - Blackall,4833
Charleville,4391
Far Central West,2162
Far South West,2879
Longreach,3727
Buderim - North,17077
Buderim - South,16890
Mountain Creek,11698
Sippy Downs,10619
Aroona - Currimundi,10328
Buddina - Minyama,6691
Caloundra - Kings Beach,6917
Caloundra - West,20842
Golden Beach - Pelican Waters,12182
Moffat Beach - Battery Hill,8080
Parrearra - Warana,9774
Wurtulla - Birtinya,8112
Coolum Beach,15174
Marcoola - Mudjimba,11290
Maroochydore - Kuluin,19692
Mooloolaba - Alexandra Headland,12203
Noosa Heads,4716
Noosaville,9059
Sunshine Beach,6871
Tewantin,10505
Peregian Beach - Marcus Beach,3868
Peregian Springs,7607
Beerwah,8395
Caloundra Hinterland,8859
Glass House Mountains,5928
Landsborough,10436
Maroochy Hinterland,6400
Palmwoods,10880
Bli Bli,8550
Diddillibah - Rosemount,3839
Eumundi - Yandina,10843
Nambour,20430
Noosa Hinterland,22667
Cambooya - Wyreema,7188
Darling Heights,14173
Drayton - Harristown,10445
Gatton,7632
Gowrie (Qld),6549
Highfields,13464
Lockyer Valley - West,11532
Middle Ridge,7321
Newtown (Qld),9822
North Toowoomba - Harlaxton,5872
Rangeville,8488
Toowoomba - Central,13662
Toowoomba - East,10052
Toowoomba - West,13401
Wilsonton,13600
Ayr,9254
Burdekin,8004
Charters Towers,8282
Dalrymple,3792
Ingham,4482
Ingham Region,6508
Palm Island,2602
Aitkenvale,4929
Annandale,10397
Belgian Gardens - Pallarenda,3357
Bohle Plains,7392
Condon - Rasmussen,10784
Cranbrook,6036
Deeragun,23125
Douglas,8066
Garbutt - West End,6784
Gulliver - Currajong - Vincent,7926
Heatley,4112
Hermit Park - Rosslea,5265
Hyde Park - Pimlico,4811
Kelso,10900
Kirwan - East,7998
Kirwan - West,15954
Magnetic Island,2413
Mount Louisa,9472
Mundingburra,3726
Northern Beaches,6500
Oonoonba,6784
South Townsville - Railway Estate,5336
Townsville - South,4340
Townsville City - North Ward,9452
Wulguru - Roseneath,6254
Ashfield - Kepnock,5307
Bargara - Burnett Heads,16883
Branyan - Kensington,4803
Bundaberg,6258
Bundaberg East - Kalkie,5584
Bundaberg North - Gooburrum,7355
Bundaberg Region - North,9001
Bundaberg Region - South,9966
Millbank - Avoca,7532
Svensson Heights - Norville,5702
Walkervale - Avenell Heights,10885
Gayndah - Mundubbera,6731
Gin Gin,5169
Kingaroy,10548
Kingaroy Region - North,9759
Kingaroy Region - South,3945
Monto - Eidsvold,3892
Nanango,9800
North Burnett,8
Cooloola,6331
Gympie - North,14427
Gympie - South,6882
Gympie Region,18866
Kilkivan,3710
Booral - River Heads,4684
Craignish - Dundowran Beach,4873
Pialba - Eli Waters,14137
Point Vernon,5780
Torquay - Scarness - Kawungan,15197
Urangan - Wondunna,12819
Burrum - Fraser,9724
Granville,3236
Maryborough (Qld),18522
Maryborough Region - South,8492
Tinana,5556
Migratory - Offshore - Shipping (Qld),0
Adelaide,16137
North Adelaide,7259
Adelaide Hills,6876
Aldgate - Stirling,17853
Hahndorf - Echunga,4485
Lobethal - Woodside,9145
Mount Barker,17654
Mount Barker Region,6304
Nairne,5125
Uraidla - Summertown,5525
Burnside - Wattle Park,19201
Glenside - Beaumont,10057
Toorak Gardens,16206
Athelstone,9351
Paradise - Newton,20041
Rostrevor - Magill,22241
Norwood (SA),10509
Payneham - Felixstow,12602
St Peters - Marden,13332
Nailsworth - Broadview,6187
Prospect,14908
Walkerville,7838
Goodwood - Millswood,18086
Unley - Parkside,20830
Gawler - North,9294
Gawler - South,19915
Lewiston - Two Wells,5684
Craigmore - Blakeview,18443
Davoren Park,17948
Elizabeth,10468
Elizabeth East,13055
Munno Para West - Angle Vale,12329
One Tree Hill,2576
Smithfield - Elizabeth North,12350
Virginia - Waterloo Corner,4296
Enfield - Blair Athol,23676
Northgate - Oakden - Gilles Plains,25155
Windsor Gardens,20768
Dry Creek - North,0
Ingle Farm,15072
Para Hills,14915
Parafield,104
Parafield Gardens,17285
Paralowie,17130
Salisbury,17866
Salisbury East,17771
Salisbury North,17656
Mawson Lakes - Globe Derby Park,13795
Pooraka - Cavan,7935
Golden Grove,10545
Greenwith,9114
Highbury - Dernancourt,10702
Hope Valley - Modbury,16725
Modbury Heights,19253
Redwood Park,16322
St Agnes - Ridgehaven,12629
Brighton (SA),14212
Glenelg (SA),20477
Edwardstown,13834
Hallett Cove,12670
Marino - Seaview Downs,9584
Mitchell Park,15473
Morphettville,14947
Sheidow Park - Trott Park,10311
Warradale,15279
Belair,4708
Bellevue Heights,7617
Blackwood,12230
Colonel Light Gardens,15941
Mitcham (SA),16346
Panorama,8227
Aberfoyle Park,11765
Aldinga,15554
Christie Downs,9468
Christies Beach,10356
Clarendon,2712
Coromandel Valley,4398
Flagstaff Hill,10741
Hackham - Onkaparinga Hills,6389
Hackham West - Huntfield Heights,7655
Happy Valley,13882
Happy Valley Reservoir,0
Lonsdale,26
McLaren Vale,6028
Morphett Vale - East,13712
Morphett Vale - West,9629
Reynella,10240
Seaford (SA),22857
Willunga,3432
Woodcroft,11532
Beverley,7942
Flinders Park,14918
Henley Beach,15303
Hindmarsh - Brompton,18102
Royal Park - Hendon - Albert Park,5953
Seaton - Grange,16714
West Lakes,14630
Woodville - Cheltenham,17943
Dry Creek - South,0
Largs Bay - Semaphore,14767
North Haven,14455
Port Adelaide,11003
The Parks,19028
Torrens Island,3
Adelaide Airport,0
Fulham,2729
Lockleys,13182
Plympton,24785
Richmond (SA),16911
West Beach,5151
Barossa - Angaston,6282
Light,9184
Lyndoch,6340
Mallala,3238
Nuriootpa,6731
Tanunda,4718
Clare,4121
Gilbert Valley,5029
Goyder,4244
Wakefield - Barunga West,9657
Jamestown,4651
Peterborough - Mount Remarkable,5487
Port Pirie,14360
Port Pirie Region,3392
Kadina,5396
Moonta,4956
Wallaroo,4099
Yorke Peninsula - North,7280
Yorke Peninsula - South,3998
Ceduna,2669
Eyre Peninsula,6671
Kimba - Cleve - Franklin Harbour,4343
Le Hunte - Elliston,2333
Port Lincoln,16258
West Coast (SA),3695
Western,80
Whyalla,22424
Whyalla - North,0
APY Lands,2500
Coober Pedy,1842
Quorn - Lake Gilles,2172
Outback,2740
Port Augusta,14078
Roxby Downs,4037
Goolwa - Port Elliot,11384
Kangaroo Island,4852
Strathalbyn,7301
Strathalbyn Region,7565
Victor Harbor,14786
Yankalilla,5831
Grant,5948
Kingston - Robe,3851
Millicent,5379
Naracoorte,6274
Naracoorte Region,2345
Penola,3216
Tatiara,6871
Wattle Range,3342
Mount Gambier - East,15071
Mount Gambier - West,14386
Barmera,6655
Berri,4200
Karoonda - Lameroo,3088
Loxton,5513
Loxton Region,1739
Mannum,6287
Murray Bridge,18120
Murray Bridge Region,3716
Renmark,4787
Renmark Region,4966
The Coorong,5568
Waikerie,6729
Migratory - Offshore - Shipping (SA),0
Dawesville - Bouvard,7279
Falcon - Wannanup,9032
Greenfields,10062
Halls Head - Erskine,19045
Mandurah,9381
Mandurah - East,5967
Mandurah - North,18386
Mandurah - South,10416
Pinjarra,9837
City Beach,6971
Claremont (WA),8529
Cottesloe,7851
Floreat,8258
Mosman Park - Peppermint Grove,10900
Nedlands - Dalkeith - Crawley,19588
Swanbourne - Mount Claremont,9155
Kings Park (WA),20
Mount Hawthorn - Leederville,11152
Mount Lawley - Inglewood,17244
North Perth,9187
Perth City,33898
Subiaco - Shenton Park,17305
Wembley - West Leederville - Glendalough,18801
Bassendean - Eden Hill - Ashfield,15563
Bayswater - Embleton - Bedford,23881
Maylands,13357
Morley,22648
Noranda,8292
Chidlow,4875
Glen Forrest - Darlington,7250
Helena Valley - Koongamia,5431
Malmalling - Reservoir,10
Mundaring,13204
Swan View - Greenmount - Midvale,12368
Avon Valley National Park,8
Ballajura,19540
Beechboro,18733
Bullsbrook,5409
Ellenbrook,37251
Gidgegannup,2827
Hazelmere - Guildford,4279
Lockridge - Kiara,11009
Malaga,9
Melaleuca - Lexia,0
Middle Swan - Herne Hill,5637
Midland - Guildford,10982
Stratton - Jane Brook,7097
The Vines,10248
Walyunga National Park,0
Craigie - Beldon,10182
Currambine - Kinross,14371
Duncraig,15941
Greenwood - Warwick,13782
Heathridge - Connolly,10682
Hillarys,11348
Iluka - Burns Beach,9271
Joondalup - Edgewater,14062
Kingsley,13449
Mullaloo - Kallaroo,11731
Ocean Reef,8250
Padbury,8507
Sorrento - Marmion,10058
Woodvale,9654
Balcatta - Hamersley,15885
Balga - Mirrabooka,20996
Dianella,25276
Herdsman,0
Innaloo - Doubleview,17310
Karrinyup - Gwelup - Carine,21186
Nollamara - Westminster,18618
Osborne Park Industrial,24
Scarborough,16462
Stirling - Osborne Park,14293
Trigg - North Beach - Watermans Bay,7951
Tuart Hill - Joondanna,12419
Wembley Downs - Churchlands - Woodlands,14591
Yokine - Coolbinia - Menora,16295
Alexander Heights - Koondoola,12475
Butler - Merriwa - Ridgewood,24274
Carramar,17180
Clarkson,13393
Girrawheen,9038
Madeley - Darch - Landsdale,26522
Marangaroo,11053
Mindarie - Quinns Rocks - Jindalee,19462
Neerabup National Park,7
Tapping - Ashby - Sinagra,13765
Wanneroo,26539
Alkimos - Eglinton,8291
Carabooda - Pinjar,752
Two Rocks,3085
Yanchep,9151
Armadale - Wungong - Brookdale,19478
Ashendon - Lesley,14
Camillo - Champion Lakes,5700
Forrestdale - Harrisdale - Piara Waters,20111
Kelmscott,10890
Mount Nasura - Mount Richon - Bedfordale,8174
Roleystone,7343
Seville Grove,10570
Belmont - Ascot - Redcliffe,14876
East Victoria Park - Carlisle,17352
Kewdale Commercial,7
Perth Airport,35
Rivervale - Kewdale - Cloverdale,26352
Victoria Park - Lathlain - Burswood,15264
Bentley - Wilson - St James,20959
Canning Vale - West,10313
Canning Vale Commercial,0
Cannington - Queens Park,18826
Parkwood - Ferndale - Lynwood,14259
Riverton - Shelley - Rossmoyne,14016
Welshpool,36
Willetton,18763
Beckenham - Kenwick - Langford,19538
Canning Vale - East,24022
Gosnells,20800
Huntingdale - Southern River,19710
Maddington - Orange Grove - Martin,14133
Thornlie,23925
Forrestfield - Wattle Grove,19408
High Wycombe,12632
Kalamunda - Maida Vale - Gooseberry Hill,15377
Lesmurdie - Bickley - Carmel,11932
Byford,16690
Mundijong,6467
Serpentine - Jarrahdale,4539
Como,14747
Manning - Waterford,11997
South Perth - Kensington,17410
Banjup,18177
Bibra Industrial,7
Bibra Lake,0
Coogee,9158
Coolbellup,8370
Hamilton Hill,10856
Henderson,16
North Coogee,2459
South Lake - Cockburn Central,11969
Spearwood,10636
Success - Hammond Park,15440
Yangebup,7782
Beeliar - Wattleup,8622
Jandakot,2724
East Fremantle,7765
Fremantle,15759
Fremantle - South,15151
O'Connor (WA),16
Bertram - Wellard (West),14610
Calista,7849
Hope Valley - Postans,75
Kwinana Industrial,25
Parmelia - Orelia,11238
Casuarina - Wandi,6508
Applecross - Ardross,11616
Bateman,3903
Bicton - Palmyra,14264
Booragoon,15118
Bull Creek,8084
Leeming,11198
Melville,16902
Murdoch - Kardinya,12758
Willagee,5046
Winthrop,6217
Baldivis,34287
Cooloongup,8841
Port Kennedy,14155
Rockingham,16017
Rockingham Lakes,10
Safety Bay - Shoalwater,11870
Singleton - Golden Bay - Secret Harbour,20209
Waikiki,12784
Warnbro,11135
Augusta,5528
Busselton,26828
Busselton Region,10768
Margaret River,9159
Australind - Leschenault,17956
Capel,5311
College Grove - Carey Park,6873
Collie,8901
Dardanup,3213
Davenport,12
Eaton - Pelican Point,12068
Harvey,9073
East Bunbury - Glen Iris,7172
Waroona,4238
Dalyellup,9228
Gelorup - Stratham,3057
South Bunbury - Bunbury,12413
Withers - Usher,5323
Bridgetown - Boyup Brook,6370
Donnybrook - Balingup,5930
Manjimup,5615
Pemberton,5106
Albany,14691
Albany Region,3492
Bayonet Head - Lower King,4955
Denmark,5964
Gnowangerup,2929
Katanning,4611
Kojonup,4266
Little Grove - Elleker,3694
McKail - Willyung,10575
Plantagenet,5142
Stirling Range National Park,0
Chittering,5535
Cunderdin,4148
Dowerin,4032
Gingin - Dandaragan,8559
Merredin,5151
Moora,4844
Mukinbudin,3202
Northam,11260
Toodyay,4500
York - Beverley,5353
Brookton,3792
Kulin,4335
Murray,2599
Narrogin,4818
Wagin,5001
Broome,14518
Derby - West Kimberley,8322
Halls Creek,3598
Kununurra,7496
Roebuck,2458
East Pilbara,6867
Newman,4739
Port Hedland,4513
South Hedland,9882
Ashburton (WA),13262
Karratha,16334
Roebourne,5838
Esperance,12307
Esperance Region,3982
Carnarvon,5367
Exmouth,4390
Boulder,7321
Kalgoorlie,14299
Kalgoorlie - North,9056
Kalgoorlie Airport,6
Kambalda - Coolgardie - Norseman,4690
Leinster - Leonora,4945
Trafalgar (WA),0
Geraldton,12009
Geraldton - East,8179
Geraldton - North,7876
Geraldton - South,10225
Irwin,3611
Meekatharra,3160
Morawa,4056
Northampton - Mullewa - Greenough,6011
Migratory - Offshore - Shipping (WA),0
Bridgewater - Gagebrook,7342
Brighton - Pontville,5449
Old Beach - Otago,4378
Bellerive - Rosny,5979
Cambridge,7717
Geilston Bay - Risdon,3233
Howrah - Tranmere,10432
Lindisfarne - Rose Bay,7344
Mornington - Warrane,4695
Risdon Vale,3115
Rokeby,6101
South Arm,4251
Austins Ferry - Granton,3970
Berriedale - Chigwell,5532
Claremont (Tas.),7754
Derwent Park - Lutana,4205
Glenorchy,11046
Montrose - Rosetta,4851
Moonah,5359
New Norfolk,6594
West Moonah,3979
Kingston - Huntingfield,11367
Kingston Beach - Blackmans Bay,10373
Margate - Snug,7818
Mount Wellington,0
Taroona - Bonnet Hill,3645
Hobart,8091
Lenah Valley - Mount Stuart,8512
Mount Nelson - Dynnyrne,4740
New Town,6076
Sandy Bay,12297
South Hobart - Fern Tree,6162
West Hobart,5994
Dodges Ferry - Lewisham,7520
Sorell - Richmond,8541
Invermay,3165
Kings Meadows - Punchbowl,4278
Launceston,5386
Legana,4202
Mowbray,3826
Newnham - Mayfield,9162
Newstead,5368
Norwood (Tas.),3947
Prospect Vale - Blackstone,6557
Ravenswood,3696
Riverside,6651
South Launceston,4756
Summerhill - Prospect,4746
Trevallyn,4697
Waverley - St Leonards,3614
West Launceston,4260
Youngtown - Relbia,4729
Beauty Point - Beaconsfield,3818
Deloraine,5799
Grindelwald - Lanena,5841
Hadspen - Carrick,3295
Westbury,4065
Dilston - Lilydale,3991
George Town,6905
Longford,4083
Northern Midlands,3685
Perth - Evandale,5165
St Helens - Scamander,6173
Flinders and Cape Barren Islands,926
Scottsdale - Bridport,6751
Central Highlands,2073
Derwent Valley,3175
Southern Midlands,6155
Wilderness - East,21
Bruny Island - Kettering,3033
Cygnet,4385
Geeveston - Dover,3735
Huonville - Franklin,8555
Forestier - Tasman,2396
Triabunna - Bicheno,4495
Acton - Upper Burnie,3223
Burnie - Ulverstone Region,5089
Burnie - Wivenhoe,3668
Parklands - Camdale,6491
Penguin - Sulphur Creek,5177
Romaine - Havenview,3470
Somerset,3998
Ulverstone,6999
West Ulverstone,4268
Wynyard,6198
Devonport,14069
East Devonport,4806
Latrobe,4628
Miandetta - Don,3612
Port Sorell,5732
Quoiba - Spreyton,2951
Sheffield - Railton,6310
Turners Beach - Forth,3164
King Island,1617
North West,4167
Smithton,4004
Waratah,3689
West Coast (Tas.),4236
Wilderness - West,0
Migratory - Offshore - Shipping (Tas.),0
Darwin Airport,15
Darwin City,7130
East Point,14
Fannie Bay - The Gardens,3602
Larrakeyah,4013
Ludmilla - The Narrows,2759
Parap,2967
Stuart Park,4497
Woolner - Bayview - Winnellie,3023
Alawa,2292
Anula,2517
Berrimah,1352
Brinkin - Nakara,3816
Buffalo Creek,0
Charles Darwin,0
Coconut Grove,3216
East Arm,13
Jingili,1865
Karama,5270
Leanyer,4880
Lyons (NT),5092
Malak - Marrara,4842
Millner,2746
Moil,2142
Nightcliff,4150
Rapid Creek,3460
Tiwi,2763
Wagaman,2337
Wanguri,1996
Wulagi,2557
Howard Springs,7521
Humpty Doo,9117
Koolpinyah,24
Virginia,3531
Weddell,4730
Bakewell,3237
Driver,3045
Durack - Marlow Lagoon,4549
Gray,3530
Moulden,3150
Palmerston - North,4475
Palmerston - South,3192
Rosebery - Bellamack,7062
Woodroffe,3427
Charles,4616
East Side,5520
Flynn (NT),4760
Larapinta,5266
Mount Johns,4043
Petermann - Simpson,2741
Ross,2618
Sandover - Plenty,4623
Tanami,3133
Yuendumu - Anmatjere,2398
Barkly,2879
Tennant Creek,3362
Alligator,4968
Daly,2102
Thamarrurr,2858
Tiwi Islands,2805
West Arnhem,5483
Anindilyakwa,2811
East Arnhem,8582
Nhulunbuy,3409
Elsey,2596
Gulf,4774
Katherine,10635
Victoria River,2842
Migratory - Offshore - Shipping (NT),0
Aranda,2429
Belconnen,6916
Bruce,7273
Charnwood,3008
Cook,2885
Dunlop,7262
Evatt,5393
Florey,4863
Flynn (ACT),3376
Fraser,2045
Giralang,3351
Gooromon,7
Hawker,2992
Higgins,3118
Holt,4659
Kaleen,7464
Latham,3671
Lawson,145
Macgregor (ACT),6898
Macquarie,2764
McKellar,2835
Melba,3211
Page,3047
Scullin,2980
Spence,2629
Weetangera,2582
Molonglo Corridor,12
West Belconnen,15
Hume,435
Kowen,44
Canberra East,813
Canberra Airport,101
Majura,176
Amaroo,5721
Bonner,6917
Casey,5850
Crace,4521
Forde,4456
Franklin,6592
Gungahlin,6332
Hall,276
Harrison,7850
Mitchell,4
Ngunnawal,10577
Nicholls,6879
Palmerston,5656
Gungahlin - East,0
Gungahlin - West,0
Jacka,669
Kenny,9
Moncrieff,99
Taylor,0
Throsby,0
Acton,2140
Ainslie,5260
Braddon,5689
Civic,4390
Dickson,2174
Downer,3716
Hackett,3055
Lyneham,5250
O'Connor (ACT),5626
Turner,4131
Watson,5947
Black Mountain,0
Campbell,3220
Duntroon,1846
Parkes (ACT) - North,3
Reid,1655
Russell,3
Deakin,2930
Forrest,1637
Griffith (ACT),4688
Lake Burley Griffin,0
Narrabundah,5997
Parkes (ACT) - South,5
Red Hill (ACT),3266
Yarralumla,2942
Barton,1498
Fyshwick,55
Kingston (ACT),4645
Banks,5027
Bonython,3818
Calwell,5800
Chisholm,5180
Conder,5085
Fadden,2978
Gilmore,2768
Gordon (ACT),7716
Gowrie (ACT),3074
Greenway,1888
Isabella Plains,4436
Kambah,15008
Macarthur,1456
Monash,5504
Mount Taylor,3
Oxley (ACT),1689
Richardson,3037
Theodore,3868
Tuggeranong,22
Wanniassa,7600
Tuggeranong - West,11
Chapman,2695
Duffy,3205
Fisher,3067
Holder,2618
Rivett,3201
Stirling,2151
Waramanga,2629
Weston,3603
Scrivener,3
Chifley,2475
Curtin,5331
Farrer,3264
Garran,3611
Hughes,3025
Isaacs,2363
Lyons (ACT),3116
Mawson,3307
O'Malley,1031
Pearce,2633
Phillip,3014
Torrens,2207
Arboretum,8
Coombs,1881
Denman Prospect,0
Molonglo,0
Molonglo - North,5
Wright,2865
ACT - South West,578
Namadgi,39
Migratory - Offshore - Shipping (ACT),0
Christmas Island,1903
Cocos (Keeling) Islands,546
Jervis Bay,403
Norfolk Island,1756
Migratory - Offshore - Shipping (OT),0
No usual address (NSW),0
No usual address (Vic.),0
No usual address (Qld),0
No usual address (SA),0
No usual address (WA),0
No usual address (Tas.),0
No usual address (NT),0
No usual address (ACT),0
No usual address (OT),0
